City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.92,55.4,71,40,5.82,scattered clouds
1,Butaritari,KI,3.07,172.79,82.08,77,34,7.58,light rain
2,Cape Town,ZA,-33.93,18.42,57.99,76,0,10.29,clear sky
3,Goderich,CA,43.75,-81.72,69.8,60,100,18.34,overcast clouds
4,Hilo,US,19.73,-155.09,82.4,58,90,6.93,overcast clouds
5,Lavrentiya,RU,65.58,-171.0,33.24,93,100,7.25,overcast clouds
6,Thompson,CA,55.74,-97.86,14.0,92,90,4.7,overcast clouds
7,Narwar,IN,25.65,77.9,61.34,42,0,0.72,clear sky
8,Yishui,CN,35.78,118.63,57.02,46,0,6.6,clear sky
9,Glendive,US,47.11,-104.71,30.2,80,90,10.29,overcast clouds
10,Constitucion,CL,-35.33,-72.42,52.79,91,1,2.37,clear sky
11,Ushuaia,AR,-54.8,-68.3,55.4,50,0,5.82,clear sky
12,Dikson,RU,73.51,80.55,8.28,94,43,17.34,scattered clouds
13,Tiksi,RU,71.69,128.87,1.36,94,100,8.43,light snow
14,Saldanha,ZA,-33.01,17.94,51.8,76,0,5.82,clear sky
15,Port Macquarie,AU,-31.43,152.92,82.99,41,0,1.99,clear sky
16,Zhigansk,RU,66.77,123.37,-0.44,92,100,21.23,light snow
17,Tambura,SS,5.6,27.47,68.83,82,49,3.06,scattered clouds
18,Mataura,NZ,-46.19,168.86,59.0,70,0,8.99,clear sky
19,Ribeira Grande,PT,38.52,-28.7,59.0,67,20,9.17,few clouds
20,Kapaa,US,22.08,-159.32,82.4,69,75,17.22,broken clouds
21,Port Alfred,ZA,-33.59,26.89,60.48,78,86,5.99,overcast clouds
22,Jamuria,IN,23.7,87.08,73.4,73,40,4.7,haze
23,Arraial Do Cabo,BR,-22.97,-42.03,77.0,78,75,9.17,broken clouds
24,Watrous,CA,51.67,-105.47,12.2,92,41,2.24,scattered clouds
25,Atuona,PF,-9.8,-139.03,78.01,76,9,17.09,clear sky
26,Kirakira,SB,-10.45,161.92,86.16,71,70,8.25,light rain
27,Longyearbyen,SJ,78.22,15.64,33.8,74,75,10.29,light rain and snow
28,Hofn,IS,64.25,-15.21,40.84,87,100,22.03,overcast clouds
29,Klaksvik,FO,62.23,-6.59,48.2,100,100,24.16,light rain
30,Jalu,LY,29.03,21.55,59.25,85,0,9.44,clear sky
31,Tessalit,ML,20.2,1.01,68.04,26,0,11.16,clear sky
32,Rikitea,PF,-23.12,-134.97,73.69,79,14,19.62,few clouds
33,Meulaboh,ID,4.14,96.13,83.21,74,72,2.19,broken clouds
34,Cap-Aux-Meules,CA,47.38,-61.86,57.2,62,0,20.8,clear sky
35,Camacari,BR,-12.7,-38.32,80.6,69,75,13.87,broken clouds
36,Tuktoyaktuk,CA,69.45,-133.04,-5.8,76,20,11.41,few clouds
37,Gombong,ID,-7.61,109.51,73.99,71,69,7.0,broken clouds
38,Jamestown,US,42.1,-79.24,64.4,63,1,10.29,clear sky
39,Geraldton,AU,-28.77,114.6,66.2,48,90,5.82,overcast clouds
40,Bengkulu,ID,-3.8,102.27,82.47,71,82,2.39,broken clouds
41,Oksfjord,NO,70.24,22.35,32.0,79,41,11.41,scattered clouds
42,Hermanus,ZA,-34.42,19.23,51.01,88,3,1.99,clear sky
43,Del Rio,US,29.36,-100.9,71.6,28,1,6.93,clear sky
44,Sao Filipe,CV,14.9,-24.5,78.66,75,0,4.74,clear sky
45,Port Elizabeth,ZA,-33.92,25.57,57.2,100,20,5.82,few clouds
46,Souillac,MU,-20.52,57.52,73.4,88,75,14.99,light intensity shower rain
47,Amahai,ID,-3.33,128.92,87.01,62,100,3.76,overcast clouds
48,Narsaq,GL,60.92,-46.05,21.78,93,100,5.08,overcast clouds
49,Jacareacanga,BR,-6.22,-57.75,73.45,89,55,0.54,broken clouds
50,Kavieng,PG,-2.57,150.8,84.47,69,12,6.46,few clouds
51,Ha Tinh,VN,18.33,105.9,69.73,74,100,10.51,overcast clouds
52,Severo-Kurilsk,RU,50.68,156.12,37.38,74,79,11.54,broken clouds
53,Katsuura,JP,35.13,140.3,61.0,38,20,18.34,few clouds
54,Polovinnoye,RU,54.79,65.99,27.37,98,100,8.39,overcast clouds
55,Saint-Augustin,CA,51.23,-58.65,48.07,76,98,13.0,overcast clouds
56,Aloleng,PH,16.13,119.78,83.77,75,56,14.09,broken clouds
57,Viedma,AR,-40.81,-63.0,63.0,83,100,8.46,overcast clouds
58,Albany,US,42.6,-73.97,61.0,65,0,4.36,clear sky
59,Prince Rupert,CA,54.32,-130.32,41.0,93,1,3.36,clear sky
60,Puerto Leguizamo,CO,-0.19,-74.78,75.4,91,35,2.33,scattered clouds
