City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6,-73.97,48.0,100,20,3.36,fog
1,Mao,ES,39.89,4.27,68.0,82,40,5.82,scattered clouds
2,Butaritari,KI,3.07,172.79,81.57,64,47,5.64,scattered clouds
3,Nanortalik,GL,60.14,-45.24,29.66,98,100,17.0,overcast clouds
4,Cherskiy,RU,68.75,161.3,6.76,95,99,4.54,light snow
5,Qaanaaq,GL,77.48,-69.36,-8.52,70,12,10.07,few clouds
6,Busselton,AU,-33.65,115.33,70.0,45,69,9.44,broken clouds
7,Cidreira,BR,-30.18,-50.21,68.09,86,86,13.02,overcast clouds
8,Hami,CN,42.8,93.45,48.65,40,0,2.71,clear sky
9,Vaini,TO,-21.2,-175.2,71.6,94,40,4.7,scattered clouds
10,Atuona,PF,-9.8,-139.03,77.09,74,3,14.56,clear sky
11,Cabo San Lucas,MX,22.89,-109.91,69.01,86,0,6.53,clear sky
12,Rikitea,PF,-23.12,-134.97,71.74,74,87,16.67,overcast clouds
13,Geraldton,AU,-28.77,114.6,71.6,64,75,11.41,broken clouds
14,Galesburg,US,40.95,-90.37,57.0,76,1,6.93,clear sky
15,Tambacounda,SN,13.75,-13.76,87.8,27,0,9.17,clear sky
16,Klaksvik,FO,62.23,-6.59,37.4,93,69,3.36,broken clouds
17,Barrow,US,71.29,-156.79,26.6,86,90,21.92,light snow
18,Kapaa,US,22.08,-159.32,78.8,78,90,12.75,overcast clouds
19,Buala,SB,-8.14,159.59,81.45,75,84,4.85,broken clouds
20,Belmonte,BR,-15.86,-38.88,77.0,88,75,4.7,broken clouds
21,Nelson Bay,AU,-32.72,152.15,62.6,63,40,8.05,scattered clouds
22,Samana,DO,19.21,-69.34,75.67,89,99,5.75,overcast clouds
23,Tuktoyaktuk,CA,69.45,-133.04,20.43,95,85,9.8,overcast clouds
24,Tocopilla,CL,-22.09,-70.2,60.49,59,38,4.63,scattered clouds
25,Puerto Ayora,EC,-0.74,-90.35,68.0,81,77,8.01,broken clouds
26,Mahebourg,MU,-20.41,57.7,82.4,61,75,17.22,broken clouds
27,Teknaf,BD,20.86,92.31,82.45,75,0,10.42,clear sky
28,Srednekolymsk,RU,67.45,153.68,-7.69,91,99,5.64,overcast clouds
29,Upernavik,GL,72.79,-56.15,0.86,76,0,7.81,clear sky
30,Severo-Kurilsk,RU,50.68,156.12,34.47,84,27,2.84,scattered clouds
31,Kodiak,US,57.79,-152.41,50.0,81,90,9.17,light rain
32,Tlapehuala,MX,18.22,-100.52,70.2,79,69,0.87,broken clouds
33,Dracena,BR,-21.48,-51.53,73.92,39,0,5.64,clear sky
34,Ciudad Bolivar,VE,8.12,-63.55,76.01,93,97,5.35,overcast clouds
35,Anadyr,RU,64.75,177.48,15.8,85,75,6.71,broken clouds
36,Punta Arenas,CL,-53.15,-70.92,48.2,70,90,16.11,overcast clouds
37,Ushuaia,AR,-54.8,-68.3,48.2,57,40,4.7,scattered clouds
38,Faanui,PF,-16.48,-151.75,78.94,79,12,12.24,few clouds
39,Bonthe,SL,7.53,-12.51,85.12,71,7,2.64,clear sky
40,Carnarvon,AU,-24.87,113.63,75.2,73,0,17.22,clear sky
41,Saint-Philippe,RE,-21.36,55.77,78.8,69,90,21.92,overcast clouds
42,Bluff,NZ,-46.6,168.33,48.99,88,74,7.0,broken clouds
43,Port Elizabeth,ZA,-33.92,25.57,71.6,60,20,11.41,few clouds
44,Presidente Franco,PY,-25.53,-54.62,69.8,73,0,5.82,clear sky
45,Georgetown,MY,5.41,100.34,89.6,70,40,9.17,scattered clouds
46,Ferrol,ES,43.48,-8.24,60.8,82,40,4.7,scattered clouds
47,Kangaatsiaq,GL,68.31,-53.46,15.89,88,46,11.03,scattered clouds
48,Hilo,US,19.73,-155.09,73.4,94,90,5.82,moderate rain
49,San Cristobal,VE,7.77,-72.22,64.9,91,77,1.39,moderate rain
50,Guilin,CN,25.28,110.29,77.0,31,0,15.66,clear sky
51,Moose Factory,CA,51.26,-80.61,32.0,95,90,4.7,overcast clouds
52,Hobart,AU,-42.88,147.33,55.99,66,20,6.93,few clouds
53,Haines Junction,CA,60.75,-137.51,-0.4,84,98,1.12,overcast clouds
54,Avera,US,33.19,-82.53,64.4,90,1,10.29,clear sky
55,Port Alfred,ZA,-33.59,26.89,71.4,64,13,14.27,few clouds
56,Mar Del Plata,AR,-38.0,-57.56,59.0,100,90,6.6,mist
57,Tuatapere,NZ,-46.13,167.68,48.99,88,64,7.0,broken clouds
58,Namuac,PH,18.61,121.17,80.06,85,100,16.44,heavy intensity rain
59,Arraial Do Cabo,BR,-22.97,-42.03,73.4,88,75,4.7,broken clouds
60,Hanstholm,DK,57.12,8.62,50.0,82,4,10.51,clear sky
61,Mantua,IT,45.17,10.78,51.8,62,62,3.36,fog
62,Grindavik,IS,63.84,-22.43,35.6,66,75,8.05,broken clouds
63,Pevek,RU,69.7,170.31,10.9,95,94,3.36,overcast clouds
64,Hithadhoo,MV,-0.6,73.08,85.51,65,4,6.64,clear sky
